feature,importance
USD_MA7,160907.84375
EUR_MA7,109835.6953125
USD_NGN,81417.3515625
GBP_MA7,60926.203125
GBP_NGN,36997.6953125
Year,13806.3818359375
EUR_NGN,2443.320068359375
Is_Weekend,210.3832244873047
Month_August,169.26116943359375
Month_June,159.4521026611328
Weekday_Monday,146.03732299804688
Weekday_Thursday,130.89990234375
Weekday_Saturday,130.8712921142578
Weekday_Sunday,114.80899810791016
USD_Diff,99.70938873291016
GBP_Diff,90.0261459350586
Month_July,87.18050384521484
EUR_Diff,84.35252380371094
Day,81.33667755126953
Month_September,78.58756256103516
Weekday_Tuesday,64.69208526611328
Weekday_Wednesday,56.26530838012695
Month_March,53.24909210205078
Month_May,48.56968307495117
Month_January,42.3795051574707
Month_February,36.48058319091797
Month_December,28.065414428710938
Month_October,2.2946953773498535
